公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002387,黑牛食品,黑牛食品股份有限公司,"BLACKCOW FOOD CO.,LTD.",广东省汕头市潮汕路金园工业城内9A5A6,2387,黑牛食品
002388,新亚制程,深圳市新亚电子制程股份有限公司,"Shenzhen Sunyes Electronic Manufacturing Holding Co.,Ltd",广东省深圳市福田区益田路6003号荣超商务中心A座9楼,2388,新亚制程
002389,南洋科技,浙江南洋科技股份有限公司,"Zhejiang Nanyang Technology Co., Ltd.",浙江省台州市开发区开发大道388号,2389,南洋科技
002390,信邦制药,贵州信邦制药股份有限公司,"Guizhou Xinbang Pharmaceutical Co.,Ltd.",贵州省罗甸县龙坪镇解放路96号,2390,信邦制药
002391,长青股份,江苏长青农化股份有限公司,"JIANGSU CHANGQING AGROCHEMICAL CO.,LTD",江苏省江都市浦头镇江灵路1号,2391,长青股份
002392,北京利尔,北京利尔高温材料股份有限公司,"BEIJING LIER HIGH-TEMPERATURE MATERIALS CO., LTD.",北京市昌平区小汤山镇小汤山工业园4号楼,2392,北京利尔
002393,力生制药,天津力生制药股份有限公司,"TIANJIN LISHENG PHARMACEUTICAL CO.,LTD",天津市西青经济技术开发区赛达北一道16号,2393,力生制药
002394,联发股份,江苏联发纺织股份有限公司,Jiangsu lianfa textile Co.Ltd.,江苏省南通市海安县城东镇恒联路88号,2394,联发股份
002395,双象股份,无锡双象超纤材料股份有限公司,"WUXI DOUBLE ELEPHANT MICRO FIBRE MATERIAL CO.,LTD",江苏省无锡市新区鸿山街道后宅中路,2395,双象股份
002396,星网锐捷,福建星网锐捷通讯股份有限公司,"Fujian Star-net Communication Co.,Ltd.",福建省福州市仓山区金山大道618号桔园洲星网锐捷科技园19-22栋,2396,星网锐捷
002397,梦洁家纺,湖南梦洁家纺股份有限公司,"Hunan Mendale Hometextile Co.,LTD",湖南省长沙市高新技术产业开发区麓谷产业基地谷苑路168号,2397,梦洁家纺
002398,建研集团,厦门市建筑科学研究院集团股份有限公司,"XIAMEN ACADEMY OF BUILDING RESEARCH GROUP CO.,LTD.",福建省厦门市思明区湖滨南路62号,2398,建研集团
002399,海普瑞,深圳市海普瑞药业股份有限公司,"SHENZHEN HEPALINK PHARMACEUTICAL CO.,LTD.",广东省深圳市南山区松坪山郎山路21号,2399,海普瑞
002400,省广股份,广东省广告股份有限公司,"Guangdong Advertising CO.,Ltd.",广东省广州市越秀区东风东路745号之二,2400,省广股份
002401,中海科技,中海网络科技股份有限公司,"China Shipping Network Technology Co., Ltd.",上海市浦东新区民生路600号,2401,中海科技
002402,和而泰,深圳和而泰智能控制股份有限公司,"Shenzhen H&T Intelligent Control Co.,Ltd.",广东省深圳市南山区高新南区科技南十路6号深圳航天科技创新研究院大厦D座10楼,2402,和而泰
002403,爱仕达,浙江爱仕达电器股份有限公司,"ZHEJIANG AISHIDA ELECTRIC CO., LTD.",浙江省温岭市经济开发区科技路2号,2403,爱仕达
