浦发银行
南钢股份
钱江水利
浦东建设
羚锐制药
江苏舜天
大恒科技
亿阳信通
华仪电气
西水股份
九龙电力
三峡新材
鄂尔多斯
美罗药业
安琪酵母
蓝星新材
维维股份
南化股份
标准股份
曙光股份
恒顺醋业
商业城
酒钢宏兴
华泰股份
烟台万华
桂东电力
荣华实业
平高电气
*ST中农
上海家化
洪都航空
营口港
巢东股份
亚星化学
振华重工
国栋建设
天房发展
南海发展
华发股份
西藏天路
大厦股份
兰太实业
中新药业
天通股份
宏达股份
广州药业
长春燃气
鼎盛天工
澳柯玛
美克股份
ST珠峰
天利高新
*ST国祥
航天动力
长江通信
大橡塑
国阳新能
山东高速
亚宝药业
浙江龙盛
旭光股份
敦煌种业
精伦电子
恒丰纸业
国旅联合
新农开发
华微电子
华联综超
江西铜业
联创光电
通葡股份
宁波韵升
红星发展
五洲交通
西南证券
三房巷
万向德农
鑫新股份
星马汽车
首开股份
宁沪高速
天科股份
宝光股份
健康元
ST贤成
广东明珠
金地集团
ST金泰
北巴传媒
海越股份
龙净环保
江山股份
金瑞科技
成发科技
太工天成
东华实业
盘江股份
金山股份
安源股份
凯诺科技
抚顺特钢
红豆股份
欣网视讯
动力源
国电南瑞
安泰集团
三友化工
华胜天成
小商品城
湘电股份
江淮汽车
ST天宏
现代制药
*ST国药
昆明制药
柳化股份
青松建化
华鲁恒升
中远航运
三元股份
吉恩镍业
冠豪高新
中兵光电
片仔癀
通威股份
瑞贝卡
国通管业
金证股份
华纺股份
赛马实业
涪陵电力
交大博通
宝钛股份
时代新材
贵研铂业
士兰微
洪城水业
ST石岘
空港股份
迪康药业
好当家
百利电气
风神股份
六国化工
华光股份
湘邮科技
杭萧钢构
科力远
千金药业
凌云股份
双良股份
风帆股份
福建南纺
中创信测
扬农化工
亨通光电
天药股份
中金黄金
中科合臣
龙元建设
凤竹纺织
晋西车轴
精工钢构
驰宏锌锗
烽火通信
科达机电
高淳陶瓷
法拉电子
迪马股份
洪城股份
山鹰纸业
中珠控股
安阳钢铁
恒生电子
信雅达
康恩贝
惠泉啤酒
芜湖港
万好万家
精达股份
京能热电
ST黄海
卧龙电气
八一钢铁
天地科技
海油工程
长电科技
大同煤业
晋亿实业
柳钢股份
重庆钢铁
大秦铁路
金陵饭店
连云港
南京银行
中国神华
太平洋
四川成渝
中国国航
中国化学
深圳燃气
兴业银行
西部矿业
北京银行
中国铁建
中国北车
中国平安
交通银行
广深铁路
中国中铁
工商银行
北辰实业
中国铝业
中国太保
中国中冶
中国人寿
平煤股份
中国建筑
潞安环能
上海电气
中国南车
光大证券
中海油服
中国石油
中海集运
招商轮船
中国国旅
中煤能源
紫金矿业
国投新集
中国远洋
建设银行
金钼股份
中国银行
中国重工
大唐发电
中信银行
出版传媒
海通证券
上海九百
四川长虹
上柴股份
中西药业
上工申贝
丹化科技
宝信软件
同济科技
ST渝万里
自仪股份
上海医药
华东电脑
海欣股份
龙建股份
ST春兰
航天长峰
长百集团
工大首创
银座股份
王府井
北人股份
北京城乡
南通科技
内蒙华电
哈投股份
百大集团
星湖科技
通化东宝
ST梅雁
三普药业
S仪化
中炬高新
五洲明珠
创业环保
东方电气
ST洛玻
中国嘉陵
航天电子
博瑞传播
亚泰集团
大成股份
博闻科技
杉杉股份
力诺太阳
国投电力
*ST伊利
新疆众和
南京化纤
*ST中房
SST秋林
ST湖科
航空动力
广钢股份
张江高科
中海海盛
厦门空港
*ST三联
长江电力
滨州活塞
株冶集团
国投中鲁
岳阳纸业
福成五丰
博汇纸业
北方创业
郴电国际
中材国际
恒源煤电
宝胜股份
新五丰
武汉健民
宜华木业
广安爱众
北矿磁材
江苏开元
宁波热电
合肥三洋
ST建机
雷鸣科化
科达股份
航民股份
ST宝龙
四创电子
广汽长丰
贵绳股份
马应龙
文山电力
开滦股份
招商证券
一汽富维
华远地产
华银电力
中茵股份
江苏索普
大连控股
上实发展
西藏旅游
江中药业
SST天海
东方银星
锦江股份
厦门国贸
浪潮软件
ST源发
红阳能源
正和股份
东安黑豹
安徽合力
通策医疗
中电广通
中航重机
园城股份
运盛实业
宁波富邦
祥龙电业
综艺股份
ST东盛
*ST雅砻
汉商集团
南京熊猫
东方通信
新潮实业
友好集团
水井坊
通宝能源
上海辅仁
新钢股份
鲁信高新
鲁银投资
新华百货
中储股份
鲁抗医药
轻纺城
京能置业
ST马龙
ST宜纸
保税科技
国电电力
钱江生化
浙大网新
宁波海运
ST磁卡
华新水泥
福建水泥
威远生化
鹏博士
悦达投资
昆明机床
天业股份
马钢股份
山西汾酒
神马实业
东方集团
华北制药
杭州解百
厦工股份
安信信托
*ST宏盛
中路股份
耀皮玻璃
隧道股份
津劝业
上海物贸
世茂股份
益民商业
新华传媒
兰生股份
友谊股份
成商集团
三精制药
香溢融通
广电网络
东方明珠
第一医药
申通地铁
上海机电
界龙实业
海螺水泥
金晶科技
新华医疗
用友软件
广东榕泰
泰豪科技
*ST上航
龙溪股份
大连圣亚
益佰制药
中孚实业
新安股份
光明乳业
北大荒
熊猫烟花
青岛啤酒
方正科技
广电电子
ST兴业
ST二纺
汇通能源
金丰投资
上实医药
ST沪科
金杯汽车
SST中纺
大众交通
老凤祥
永生投资
鼎立股份
丰华股份
金枫酒业
ST联华
氯碱化工
海立股份
天宸股份
上海金陵
嘉宝集团
双钱股份
复旦复华
申达股份
新世界
棱光实业
龙头股份
百联股份
*ST白猫
海鸟发展
大众公用
三爱富
广电信息
新黄浦
浦东金桥
中卫国脉
万业企业
申能股份
爱建股份
乐山电力
ST中源
同达创业
外高桥
城投控股
锦江投资
飞乐音响
爱使股份
申华控股
飞乐股份
豫园商城
ST方源
信达地产
兆维科技
福耀玻璃
新南洋
强生控股
陆家嘴
哈药股份
天地源
西南药业
太极实业
尖峰集团
天目药业
东阳光铝
川投能源
中华企业
交运股份
航天通信
ST金顶
金山开发
上海普天
南京新百
京投银泰
珠江实业
广船国际
金龙汽车
刚泰控股
S上石化
上海三毛
青岛海尔
ST东碳
亚通股份
东百集团
大商股份
大江股份
多伦股份
欧亚集团
ST轻骑
ST得亨
*ST工新
沱牌曲酒
三安光电
中大股份
ST长信
彩虹股份
海博股份
常林股份
ST雄震
南宁百货
南京医药
ST金瑞
ST松辽
ST耀华
天津港
东软集团
大连热电
祁连山
ST百花
ST金化
西单商场
宁波富达
云维股份
华电能源
*ST鲁北
S*ST新太
重庆百货
中国高科
湖南海利
上海新梅
S前锋
实达集团
新华锦
苏州高新
中粮屯河
兰州民百
辽宁成大
山西焦化
华域汽车
中化国际
航天晨光
安徽水利
华丽家族
西昌电力
*ST香梨
方大特钢
上海能源
天富热电
黑牡丹
国药股份
腾达建设
联环药业
ST筑信
方大炭素
置信电气
康美药业
贵州茅台
三佳科技
华海药业
中天科技
贵航股份
长园集团
菲达环保
江南高纤
中铁二局
山东药玻
交大昂立
豫光金铅
华阳科技
栖霞建设
天士力
中国软件
海通集团
北海国发
狮头股份
新赛股份
莫高股份
新疆城建
山煤国际
山东黄金
深高速
厦门钨业
天威保变
时代出版
方兴科技
太行水泥
九龙山
康缘药业
大西洋
老白干酒
金自天正
江西长运
